,plz,area,under6
2,10115,Mitte,1837
3,10585,Charlottenburg-Wilmersdorf,852
4,10587,Charlottenburg-Wilmersdorf,1019
5,10589,Charlottenburg-Wilmersdorf,310
6,10623,Charlottenburg-Wilmersdorf,3
7,10625,Charlottenburg-Wilmersdorf,721
8,10627,Charlottenburg-Wilmersdorf,21
9,10629,Charlottenburg-Wilmersdorf,1290
10,10707,Charlottenburg-Wilmersdorf,1805
11,10709,Charlottenburg-Wilmersdorf,2523
12,10711,Charlottenburg-Wilmersdorf,2656
13,10713,Charlottenburg-Wilmersdorf,174
14,10715,Charlottenburg-Wilmersdorf,1849
15,10717,Charlottenburg-Wilmersdorf,135
16,10719,Charlottenburg-Wilmersdorf,1899
17,10777,Charlottenburg-Wilmersdorf,2093
18,10779,Charlottenburg-Wilmersdorf,2152
19,10787,Charlottenburg-Wilmersdorf,1311
20,10789,Charlottenburg-Wilmersdorf,1783
21,10825,Charlottenburg-Wilmersdorf,1392
22,13627,Charlottenburg-Wilmersdorf,1035
23,13629,Charlottenburg-Wilmersdorf,2482
24,14050,Charlottenburg-Wilmersdorf,1750
25,14052,Charlottenburg-Wilmersdorf,1083
26,14053,Charlottenburg-Wilmersdorf,347
27,14055,Charlottenburg-Wilmersdorf,993
28,14057,Charlottenburg-Wilmersdorf,2454
29,14059,Charlottenburg-Wilmersdorf,1773
30,14193,Charlottenburg-Wilmersdorf,1063
31,14195,Charlottenburg-Wilmersdorf,630
32,14197,Charlottenburg-Wilmersdorf,886
33,14199,Charlottenburg-Wilmersdorf,1077
34,10179,Friedrichshain-Kreuzberg,1039
35,10243,Friedrichshain-Kreuzberg,860
36,10245,Friedrichshain-Kreuzberg,672
37,10247,Friedrichshain-Kreuzberg,768
38,10249,Friedrichshain-Kreuzberg,282
39,10785,Friedrichshain-Kreuzberg,495
40,10961,Friedrichshain-Kreuzberg,733
41,10963,Friedrichshain-Kreuzberg,645
42,10965,Friedrichshain-Kreuzberg,636
43,10967,Friedrichshain-Kreuzberg,481
44,10969,Friedrichshain-Kreuzberg,536
45,10997,Friedrichshain-Kreuzberg,710
46,10999,Friedrichshain-Kreuzberg,871
47,10178,Friedrichshain-Kreuzberg,719
48,10315,Lichtenberg,458
49,10317,Lichtenberg,139
50,10318,Lichtenberg,390
51,10319,Lichtenberg,108
52,10365,Lichtenberg,288
53,10367,Lichtenberg,724
54,10369,Lichtenberg,717
55,13051,Lichtenberg,93
56,13053,Lichtenberg,560
57,13055,Lichtenberg,62
58,13057,Lichtenberg,4
59,13059,Lichtenberg,181
60,12619,Marzahn-Hellersdorf,231
61,12621,Marzahn-Hellersdorf,131
62,12623,Marzahn-Hellersdorf,83
63,12627,Marzahn-Hellersdorf,534
64,12629,Marzahn-Hellersdorf,15
65,12679,Marzahn-Hellersdorf,568
66,12681,Marzahn-Hellersdorf,947
67,12683,Marzahn-Hellersdorf,910
68,12685,Marzahn-Hellersdorf,1157
69,12687,Marzahn-Hellersdorf,915
70,12689,Marzahn-Hellersdorf,27
71,10117,Mitte,1219
72,10119,Mitte,254
73,10178,Mitte,1243
74,10179,Mitte,134
75,10435,Mitte,1915
76,10551,Mitte,1490
77,10553,Mitte,1439
78,10555,Mitte,1006
79,10557,Mitte,1041
80,10559,Mitte,965
81,10785,Mitte,1227
82,10787,Mitte,1661
83,10963,Mitte,1073
84,13347,Mitte,993
85,13349,Mitte,1473
86,13351,Mitte,1297
87,13353,Mitte,1084
88,13355,Mitte,963
89,13357,Mitte,1266
90,13359,Mitte,1405
91,13405,Mitte,12
92,13407,Mitte,1006
93,13409,Mitte,879
94,10967,Neukölln,441
95,12043,Neukölln,781
96,12045,Neukölln,827
97,12047,Neukölln,92
98,12049,Neukölln,897
99,12051,Neukölln,1112
100,12053,Neukölln,25
101,12055,Neukölln,289
102,12057,Neukölln,1101
103,12059,Neukölln,902
104,12107,Neukölln,1131
105,12305,Neukölln,780
106,12347,Neukölln,1218
107,12349,Neukölln,819
108,12351,Neukölln,1096
109,12353,Neukölln,1254
110,12355,Neukölln,37
111,12357,Neukölln,3
112,12359,Neukölln,836
113,10119,Pankow,9
114,10247,Pankow,1057
115,10249,Pankow,6
116,10405,Pankow,1037
117,10407,Pankow,666
118,10409,Pankow,1206
119,10435,Pankow,1355
120,10437,Pankow,1171
121,10439,Pankow,1089
122,13086,Pankow,2163
123,13088,Pankow,1628
124,13089,Pankow,810
125,13125,Pankow,1293
126,13127,Pankow,1337
127,13129,Pankow,1238
128,13156,Pankow,862
129,13158,Pankow,1724
130,13159,Pankow,1157
131,13187,Pankow,1261
132,13189,Pankow,1889
133,13403,Reinickendorf,696
134,13405,Reinickendorf,619
135,13407,Reinickendorf,1813
136,13409,Reinickendorf,1416
137,13435,Reinickendorf,855
138,13437,Reinickendorf,1090
139,13439,Reinickendorf,493
140,13465,Reinickendorf,1929
141,13467,Reinickendorf,868
142,13469,Reinickendorf,1648
143,13503,Reinickendorf,3205
144,13505,Reinickendorf,1251
145,13507,Reinickendorf,1675
146,13509,Reinickendorf,953
147,13629,Reinickendorf,1364
148,13581,Spandau,1269
149,13583,Spandau,1245
150,13585,Spandau,1791
151,13587,Spandau,1508
152,13589,Spandau,1548
153,13591,Spandau,2165
154,13593,Spandau,1214
155,13595,Spandau,1124
156,13597,Spandau,2164
157,13599,Spandau,1689
158,13629,Spandau,456
159,14089,Spandau,2620
160,12157,Steglitz-Zehlendorf,1409
161,12161,Steglitz-Zehlendorf,345
162,12163,Steglitz-Zehlendorf,2091
163,12165,Steglitz-Zehlendorf,995
164,12167,Steglitz-Zehlendorf,115
165,12169,Steglitz-Zehlendorf,2697
166,12203,Steglitz-Zehlendorf,1850
167,12205,Steglitz-Zehlendorf,1865
168,12207,Steglitz-Zehlendorf,838
169,12209,Steglitz-Zehlendorf,912
170,12247,Steglitz-Zehlendorf,1680
171,12249,Steglitz-Zehlendorf,1828
172,12277,Steglitz-Zehlendorf,2150
173,12279,Steglitz-Zehlendorf,1977
174,14109,Steglitz-Zehlendorf,1775
175,14129,Steglitz-Zehlendorf,25
176,14163,Steglitz-Zehlendorf,502
177,14165,Steglitz-Zehlendorf,257
178,14167,Steglitz-Zehlendorf,1343
179,14169,Steglitz-Zehlendorf,184
180,14193,Steglitz-Zehlendorf,1921
181,14195,Steglitz-Zehlendorf,1273
182,14197,Steglitz-Zehlendorf,895
183,10777,Tempelhof-Schöneberg,1869
184,10779,Tempelhof-Schöneberg,835
185,10781,Tempelhof-Schöneberg,787
186,10783,Tempelhof-Schöneberg,1119
187,10785,Tempelhof-Schöneberg,911
188,10787,Tempelhof-Schöneberg,290
189,10789,Tempelhof-Schöneberg,1196
190,10823,Tempelhof-Schöneberg,802
191,10825,Tempelhof-Schöneberg,858
192,10827,Tempelhof-Schöneberg,1497
193,10829,Tempelhof-Schöneberg,1705
194,10965,Tempelhof-Schöneberg,1304
195,12099,Tempelhof-Schöneberg,1482
196,12101,Tempelhof-Schöneberg,1582
197,12103,Tempelhof-Schöneberg,1773
198,12105,Tempelhof-Schöneberg,1134
199,12107,Tempelhof-Schöneberg,705
200,12109,Tempelhof-Schöneberg,1047
201,12157,Tempelhof-Schöneberg,1149
202,12159,Tempelhof-Schöneberg,6
203,12161,Tempelhof-Schöneberg,36
204,12163,Tempelhof-Schöneberg,766
205,12249,Tempelhof-Schöneberg,546
206,12277,Tempelhof-Schöneberg,537
207,12279,Tempelhof-Schöneberg,6
208,12305,Tempelhof-Schöneberg,479
209,12307,Tempelhof-Schöneberg,680
210,12309,Tempelhof-Schöneberg,1204
211,14197,Tempelhof-Schöneberg,1052
212,12435,Treptow-Köpenick,564
213,12437,Treptow-Köpenick,716
214,12439,Treptow-Köpenick,772
215,12459,Treptow-Köpenick,700
216,12487,Treptow-Köpenick,1102
217,12489,Treptow-Köpenick,815
218,12524,Treptow-Köpenick,824
219,12526,Treptow-Köpenick,3
220,12527,Treptow-Köpenick,48
221,12555,Treptow-Köpenick,785
222,12557,Treptow-Köpenick,783
223,12559,Treptow-Köpenick,19
224,12587,Treptow-Köpenick,60
225,12589,Treptow-Köpenick,737
